alcoholPercentage,assortmentText,bottleText,categoryLevel1,categoryLevel2,categoryLevel3,country,customCategoryTitle,ethicalLabel,grapes,isClimateSmartPackaging,isCompletelyOutOfStock,isDiscontinued,isEthical,isKosher,isManufacturingCountry,isOrganic,isSustainableChoice,isTemporaryOutOfStock,originLevel1,originLevel2,packagingLevel1,price,producerName,productId,productNameBold,productNameThin,productNumber,productNumberShort,restrictedParcelQuantity,sugarContent,sugarContentGramPer100ml,supplierName,taste,tasteClockBitter,tasteClockBody,tasteClockCasque,tasteClockFruitacid,tasteClockGroupBitter,tasteClockGroupSmokiness,tasteClockRoughness,tasteClockSmokiness,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volume,volumeText,full_name
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,"['Corvina', 'Rondinella', 'Corvinone']",False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,119.0,Antiche Terre Venete,797790,Antiche Terre Venete,Valpolicella Ripasso,7434501,74345,0,5,0.5,Iconic Wines,"Kryddig, något utvecklad smak med inslag av fat, körsbär, rosmarin, torkade jordgubbar, salvia och vanilj.",0,7,4,9,,,7,0,0,"[{'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2021,750,750 ml,Antiche Terre Venete Antiche Terre Venete Valpolicella Ripasso 2021
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,USA,"Rött vin, Fruktigt & Smakrikt",,"['Cabernet sauvignon', 'Zinfandel', 'Syrah', 'Merlot']",False,False,False,False,False,False,False,False,False,Kalifornien,,Glasflaska,119.0,Apothic Wines,758376,Apothic Red,Winemaker's Blend,642001,6420,0,14,1.4,Spendrups Bryggeri AB,"Generöst fruktig smak med fatkaraktär och liten sötma, inslag av björnbär, vanilj, blåbär och mintchoklad.",0,8,8,8,,,6,0,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 8}]","['Lamm', 'Nöt', 'Ost', 'Sällskapsdryck']",2021,750,750 ml,Apothic Wines Apothic Red Winemaker's Blend 2021
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Frankrike,"Rött vin, Kryddigt & Mustigt",,['Poulsard'],False,False,False,False,False,False,False,False,False,Jura,Arbois,Glasflaska,159.0,Jacques Tissot,30177215,Arbois Poulsard,Jacques Tissot,210001,2100,0,2,0.0,Gullberg by Stockwine AB,"Kryddig, något utvecklad smak med inslag av fat, torkade körsbär, blodapelsin, salvia, muskot, mogna jordgubbar och nötter.",0,6,4,9,,,7,0,0,"[{'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2020,750,750 ml,Jacques Tissot Arbois Poulsard Jacques Tissot 2020
14.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,['Sangiovese'],False,False,False,False,False,False,False,False,False,Toscana,Brunello di Montalcino,Glasflaska,269.0,The Company of Urban wines And Other Liquids Sweden AB,24562262,Armatura,Brunello di Montalcino,5027601,50276,0,2,0.0,Urban Wines AB,"Kryddig, något utvecklad smak med fatkaraktär, inslag av mörka körsbär, kanel, fikon, nougat, torkade tranbär och svart te. ",0,9,8,10,,,10,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 10}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt', 'Vilt']",2018,750,750 ml,The Company of Urban wines And Other Liquids Sweden AB Armatura Brunello di Montalcino 2018
14.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Spanien,"Rött vin, Kryddigt & Mustigt",,['Tempranillo'],False,False,False,False,False,False,True,False,False,Kastilien-León,Ribera del Duero,Glasflaska,249.0,Bodegas Arzuaga Navarro,26294257,Arzuaga,Selección Especial,107901,1079,0,2,0.0,Amka Vinimport AB,"Kryddigt, smakrikt vin med tydlig rostad fatkaraktär, inslag av mörka körsbär, plommon, kakao, kryddnejlika, kokos, vanilj och kaffe.",0,10,10,10,,,10,0,0,"[{'key': 'TasteClockBody', 'value': 10}, {'key': 'TasteClockRoughness', 'value': 10}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt', 'Vilt']",2021,750,750 ml,Bodegas Arzuaga Navarro Arzuaga Selección Especial 2021
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,USA,"Rött vin, Kryddigt & Mustigt",,['Pinot noir'],False,False,False,False,False,False,False,False,False,Kalifornien,Central Coast,Glasflaska,109.0,Domaine Wines Sweden AB,24681836,Ascot,Pinot Noir,5525001,55250,0,5,0.5,Domaine Wines Sweden AB,"Kryddig, nyanserad smak med fatkaraktär, inslag av mogna jordgubbar, choklad, körsbär, kanel, lagerblad och vanilj.",0,5,8,9,,,5,0,0,"[{'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockRoughness', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Fläsk', 'Fågel', 'Grönsaker']",2021,750,750 ml,Domaine Wines Sweden AB Ascot Pinot Noir 2021
14.0,Fast sortiment,Flaska,Vin,Rött vin,Stramt & Nyanserat,Italien,"Rött vin, Stramt & Nyanserat",,['Nebbiolo'],False,False,False,False,False,False,False,False,False,Piemonte,Barbaresco,Glasflaska,299.0,Prunotto,830942,Barbaresco,Prunotto,2201301,22013,0,2,0.0,Ward Wines AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, jordgubbar, rosor, nötter, hallon, örter och svart te.",0,8,8,10,,,10,0,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 10}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt', 'Vilt']",2020,750,750 ml,Prunotto Barbaresco Prunotto 2020
14.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Italien,"Rött vin, Fruktigt & Smakrikt",,['Barbera'],False,False,False,False,False,False,True,False,False,Piemonte,Barbera d'Alba,Glasflaska,225.0,G.D. Vajra,812451,Barbera d'Alba,Superiore,2307101,23071,0,2,0.0,Morningstar Brands AB,"Nyanserad, fruktig smak med fatkaraktär, inslag av mörka körsbär, viol, skogshallon, blåbär och choklad.",0,8,8,10,,,8,0,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt']",2021,750,750 ml,G.D. Vajra Barbera d'Alba Superiore 2021
14.0,Fast sortiment,Flaska,Vin,Rött vin,Stramt & Nyanserat,Italien,"Rött vin, Stramt & Nyanserat",,['Nebbiolo'],False,False,False,False,False,False,True,False,False,Piemonte,Barolo,Glasflaska,299.0,G.D. Vajra,676892,Barolo Albe,G.D. Vajra,239801,2398,0,2,0.0,Morningstar Brands AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av torkade körsbär, sandelträ, skogshallon, rosor, bergamott, kanel, kakao och svart te.",0,9,8,10,,,11,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 11}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt', 'Vilt']",2019,750,750 ml,G.D. Vajra Barolo Albe G.D. Vajra 2019
14.5,Fast sortiment,Flaska,Vin,Rött vin,Stramt & Nyanserat,Italien,"Rött vin, Stramt & Nyanserat",,['Nebbiolo'],False,False,False,False,False,False,False,False,False,Piemonte,Barolo,Glasflaska,261.0,Franco Molino Cascina Rocca,24617991,Barolo Cascina Rocca,Franco Molino,246801,2468,0,2,0.0,Vinoliv Import AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av nypon, mogna jordgubbar, kanel, körsbär, rosor, nougat, svart te och pomerans.",0,9,8,10,,,11,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 11}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Lamm', 'Nöt', 'Vilt']",2017,750,750 ml,Franco Molino Cascina Rocca Barolo Cascina Rocca Franco Molino 2017
