alcoholPercentage,assortmentText,grapes,packagingLevel1,sugarContentGramPer100ml,supplierName,tasteClockBody,tasteClockOakFlavor,tasteClockAcidity,tasteClockTannins,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volumeText,productNumber_Artnr,productNumberShort_Varunr,Name,Producer_Name,Product_Group_Details,Headline,Actual_Price,Country,Region,origin,productId_ArtId,Units_sold
,,,,,,,,,,,,,,,254401,2544,Castel del Monte,TorreSanta,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Italian,Apulia,Castel del Monte,24405162,-1.0
,,,,,,,,,,,,,,,7317901,73179,Casteloro Spumante Organic Extra Dry,Fields Wine Company AB,Sparkling Wine,"Sparkling Wines, Dry",59.0,Italian,Italian,Italian,24450613,8418.0
,,,,,,,,,,,,,,,7832901,78329,Légende de Bonpas,Bonpas,White Wine,"White Wines, Fresh & Fruity",59.0,France,Rhonedalen,Luberon,24449710,1246.0
,,,,,,,,,,,,,,,7751601,77516,Piccini Rosso,Piccini,Red Wine,Red Wines,59.0,Italian,Tuscany,Tuscany,17079914,1118.0
,,,,,,,,,,,,,,,5011701,50117,Amicone Bianco Organic,Schenk Italia S.p.A,White Wine,"White Wines, Fresh & Fruity",59.0,Italian,Three Venices,Three Venices,24554687,1902.0
12.0,available on order,[],Glass bottle,0.0,VCT Sweden AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,8529601,85296,Frontera Cabernet Sauvignon,Concha y Toro,Red Wine,Red Wines,59.0,Chile,Central Valley,Central Valley,35460,2404.0
,,,,,,,,,,,,,,,694601,6946,Gnarly Head Pinot Grigio,Gnarly Head Wines,White Wine,"White Wines, Fresh & Fruity",59.0,USA,California,Lodi,24384696,262.0
,,,,,,,,,,,,,,,5615901,56159,Snabba Cash Barbera d'Asti by Jens Lapidus,Icon Wines,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Italian,Piedmont,Barbera d'Asti,24700077,4789.0
,,,,,,,,,,,,,,,238501,2385,Teillery Cabernet Franc,Vitivincola Teillery Ltda.,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Chile,Central Valley,Maipo,24563005,6119.0
,,,,,,,,,,,,,,,2002701,20027,Jacques Germanier Cabernet Sauvignon Merlot,Jacques Germanier,Red Wine,"Red Wines, Fruity & Flavorful",59.0,South Africa,Western Cape,Western Cape,18981889,10937.0
,,,,,,,,,,,,,,,5431801,54318,Viña Maipo Sauvignon Blanc,Viña Maipo SpA,White Wine,White Wines,59.0,Chile,Chile,Chile,34428042,971.0
,,,,,,,,,,,,,,,5040201,50402,Del Presidente Selvarossa,Cantine Due Palme,Red Wine,"Red Wines, Fruity & Flavorful",61.0,Italian,Apulia,Apulia,24564978,-1.0
,,,,,,,,,,,,,,,255801,2558,Palaios Superior,"Casa Vila Verde - Sociedade Agricola, Lda",Red Wine,"Red Wines, Fruity & Flavorful",61.0,Portugal,Alentejo,Alentejano,24480554,50.0
,,,,,,,,,,,,,,,7891201,78912,Hacienda López de Haro Blanco,Bodega Classica,White Wine,White Wines,61.0,Spain,Rioja,Rioja,18425816,5.0
,,,,,,,,,,,,,,,5002201,50022,Casa Marrone Blanc de Blancs Organic Brut,Casa Marrone,Sparkling Wine,"Sparkling Wines, Dry",61.0,Italian,Italian,Italian,24554211,5.0
,,,,,,,,,,,,,,,628301,6283,Lindeman's Semillon Sauvignon Blanc,Lindemans,White Wine,"White Wines, Fresh & Fruity",62.0,Australia,Australia,Australia,829843,114.0
,,,,,,,,,,,,,,,5836401,58364,CHILL OUT Vinho Regional Lisboa,Anora Group PLC,Red Wine,"Red Wines, Fruity & Flavorful",62.0,Portugal,Lisbon,Lisbon,29049811,8958.0
,,,,,,,,,,,,,,,668501,6685,Viña Maipo Carmenère,Viña Maipo SpA,Red Wine,"Red Wines, Fruity & Flavorful",64.0,Chile,Central Valley,Maule,252849,183994.0
,,,,,,,,,,,,,,,1651001,16510,Viña Maipo Cabernet Sauvignon,Viña Maipo SpA,Red Wine,"Red Wines, Fruity & Flavorful",64.0,Chile,Central Valley,Central Valley,10475,293849.0
12.5,available on order,['Cabernet sauvignon'],Glass bottle,0.0,Bibendum AB,6.0,1.0,10.0,6.0,0.0,"[{'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockRoughness', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Fläsk', 'Grönsaker', 'Lamm']",,750 ml,5334301,53343,Don Simon Nature Cabernet Sauvignon,J Garcia Carrión,Red Wine,"Red Wines, Fruity & Flavorful",64.0,Spain,Spain,Spain,34419723,16526.0
11.5,regular in-store stock,['Chardonnay'],lighter glass bottle,0.6,Bibendum AB,4.0,1.0,9.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Grönsaker', 'Skaldjur']",,750 ml,5380201,53802,Don Simon Nature Chardonnay,J Garcia Carrión,White Wine,"White Wines, Fresh & Fruity",64.0,Spain,Spain,Spain,34102331,37231.0
,,,,,,,,,,,,,,,667101,6671,Viña Maipo Chardonnay,Viña Maipo SpA,White Wine,"White Wines, Fresh & Fruity",65.0,Chile,Central Valley,Central Valley,33580,475310.0
13.0,regular in-store stock,['Chardonnay'],lighter glass bottle,0.4,VCT Sweden AB,4.0,1.0,9.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Fågel', 'Grönsaker']",2023.0,750 ml,8895801,88958,Frontera Chardonnay,Concha y Toro,White Wine,"White Wines, Fresh & Fruity",65.0,Chile,Central Valley,Maipo,53269,190694.0
,,,,,,,,,,,,,,,5254001,52540,Juan Guarda Tempranillo,Zimmermann-Graeff & Müller,Red Wine,Red Wines,66.0,Spain,Kastilien-La Mancha,VdlT Castilla,24612440,334.0
,,,,,,,,,,,,,,,5534301,55343,Don Luciano Sparkling Brut,J Garcia Carrión,Sparkling Wine,Sparkling Wines,67.0,Spain,Spain,Spain,37098735,2490.0
,,,,,,,,,,,,,,,7796101,77961,Marastoni Sangiovese Merlot,Fields Wine Company AB,Red Wine,"Red Wines, Fruity & Flavorful",69.0,Italian,Italian,Italian,24539328,51017.0
,,,,,,,,,,,,,,,258301,2583,Daytripper Cabernet Sauvignon,Daytripper Wines,Red Wine,"Red Wines, Fruity & Flavorful",69.0,USA,California,Lodi,24417629,6198.0
,,,,,,,,,,,,,,,5864301,58643,Il Capolavoro Appassimento Rosso,Globus Wine,Red Wine,"Red Wines, Spicy & Robust",69.0,Italian,Apulia,Puglia Rosso Passito,30159470,171276.0
