alcoholPercentage,assortmentText,grapes,packagingLevel1,sugarContentGramPer100ml,supplierName,tasteClockBody,tasteClockOakFlavor,tasteClockAcidity,tasteClockTannins,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volumeText,productNumber_Artnr,productNumberShort_Varunr,Name,Producer_Name,Product_Group_Details,Headline,Actual_Price,Country,Region,origin,productId_ArtId,Units_sold
12.5,available on order,"['Merlot', 'Corvina veronese']",Glass bottle,0.0,Vinunic AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,5383401,53834,Corte Giara Merlot Corvina,Corte Giara,Red Wine,Red Wines,129.0,Italian,Venetien,Venetien,24650787,45.0
,,,,,,,,,,,,,,,286601,2866,Héritages Côtes du Rhône Blanc Ogier,Ogier,White Wine,"White Wines, Full-bodied & Flavorful",129.0,France,Rhonedalen,Côtes du Rhône,760106,21125.0
,,,,,,,,,,,,,,,7962101,79621,Popova Kula Vranec Reserve,Popova Kula,Red Wine,Red Wines,129.0,North Macedonia,Povardarje,Tikvesh,763216,150.0
11.5,available on order,"['Macabeo', 'Xarel-lo', 'Parellada']",Glass bottle,0.0,Mission Wine & Spirit AB,0.0,0.0,0.0,0.0,0.0,[],[],,750 ml,5996801,59968,Dibon Demi Sec Cava,Bodegas Pinord,Sparkling Wine,Sparkling Wines,129.0,Spain,Spain,Spain,32682239,22.0
,,,,,,,,,,,,,,,7678801,76788,Villa Wolf Pinot Noir,Villa Wolf,Red Wine,Red Wines,129.0,Germany,Palatinate,Palatinate,1156246,9181.0
,,,,,,,,,,,,,,,7712901,77129,M.Chapoutier Les Vignes de Bila-Haut,M.Chapoutier,Red Wine,Red Wines,129.0,France,Languedoc-Roussillon,Côtes du Roussillon-Villages,1161186,194.0
,,,,,,,,,,,,,,,7440601,74406,Fontanafredda Piemonte Barbera,Fontanafredda,Red Wine,Red Wines,129.0,Italian,Piedmont,Piedmont,24409421,265.0
,,,,,,,,,,,,,,,5660901,56609,The Dalmatian Dog Posip,Black Island Winery D.O.O,White Wine,White Wines,129.0,Kroatien,Primorska,Sjeverna Dalmacija,25238194,639.0
,,,,,,,,,,,,,,,9043901,90439,Beaujolais-Village Nouveau Vin Nature,Maison Jean Loron,Red Wine,Red Wines,129.0,France,Burgundy,Beaujolais-Villages,29182720,52.0
,,,,,,,,,,,,,,,7386501,73865,Laurent Miquel Chardonnay Viognier,Laurent Miquel,White Wine,White Wines,129.0,France,Languedoc-Roussillon,VdP d'Oc,428372,302.0
13.5,available on order,['Sangiovese'],Glass bottle,0.0,Terrific Wines AB,8.0,1.0,9.0,8.0,0.0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fläsk', 'Lamm', 'Nöt']",2022.0,750 ml,5190101,51901,Al Caleri by Chiara Condello,Condé Azienda Vitivinicola,Red Wine,"Red Wines, Spicy & Robust",129.0,Italian,Emilia-Romagna,Romagna,34496718,37612.0
12.0,available on order,"['Trajadura', 'Alvarinho']",Glass bottle,0.0,Pompette AB,3.0,1.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 3}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Fisk', 'Grönsaker', 'Skaldjur']",2022.0,750 ml,5391701,53917,Adega de Monção Vinho Verde,Adega de Monção,White Wine,"White Wines, Fresh & Fruity",129.0,Portugal,Vinho Verde,Vinho Verde,34496741,5341.0
,,,,,,,,,,,,,,,5477801,54778,Saints & Sinners White By Magnus Carlsson,Grandes Viños,White Wine,"White Wines, Fresh & Fruity",129.0,Spain,Aragonien,Cariñena,37098730,1109.0
,,,,,,,,,,,,,,,642201,6422,Heirloom Vineyards Adelaide Hills Tempranillo,Heirloom Vineyards,Red Wine,"Red Wines, Fruity & Flavorful",129.0,Australia,South Australia,Adelaide Hills,27334737,4693.0
,,,,,,,,,,,,,,,7553501,75535,Trapiche Pure Malbec,Bodegas Trapiche,Red Wine,Red Wines,129.0,Argentina,Cuyo,Mendoza,1090417,328.0
13.0,available on order,['Garnacha'],Glass bottle,0.0,Mission Wine & Spirit AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,5300301,53003,Ama Lur Hegoa Grenache,Egarri S.A.S,Red Wine,Red Wines,129.0,Spain,Navarra,Navarra,24626528,31.0
,,,,,,,,,,,,,,,7229001,72290,Love Noir,The Wine Group,Red Wine,"Red Wines, Spicy & Robust",129.0,USA,California,California,1162817,20.0
,,,,,,,,,,,,,,,5377201,53772,Karl Fredrik Prosecco Brut Rosé,Montagner Vini e Spumanti,Sparkling Wine,"Sparkling Wines, Rosé",129.0,Italian,Venetien,Prosecco,24649320,35354.0
,,,,,,,,,,,,,,,7864301,78643,Zengarello Barbera d`Asti,The Company of Urban wines And Other Liquids Sweden AB,Red Wine,"Red Wines, Fruity & Flavorful",129.0,Italian,Piedmont,Barbera d'Asti,24493490,202.0
12.0,available on order,[],Glass bottle,0.0,Treasury Wine Estates Sweden AB,0.0,0.0,0.0,0.0,0.0,[],[],,750 ml,5888701,58887,19 Crimes Sparkling White,19 Crimes,Sparkling Wine,Sparkling Wines,129.0,Australia,Australia,Australia,30641632,731.0
,,,,,,,,,,,,,,,7099201,70992,Ruminat Primitivo Lunaria Terre di Chieti,Soc Coop Ag Olearia Vinicola Orsogna,Red Wine,Red Wines,129.0,Italian,Abruzzerna,Terre di Chieti,24396899,2155.0
,,,,,,,,,,,,,,,5299801,52998,Millesgården Possessioni Vitt,Masi Agricola,White Wine,White Wines,129.0,Italian,Venetien,Venetien,24626116,15.0
11.5,available on order,['Chardonnay'],Glass bottle,0.8,Provinum Vinhandel AB,5.0,1.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Aperitif', 'Fisk', 'Skaldjur']",,750 ml,7758601,77586,Francois Montand Blanc de blancs,Francois Montand,Sparkling Wine,"Sparkling Wines, Dry",129.0,France,France,France,1017321,928.0
14.0,available on order,[],Glass bottle,0.0,Sigva AB,0.0,0.0,0.0,0.0,0.0,[],[],2019.0,750 ml,1265901,12659,Conde Valdemar Crianza,Bodegas Valdemar,Red Wine,Red Wines,129.0,Spain,Rioja,Rioja,31498,762.0
14.5,regular in-store stock,['Tinta barroca'],lighter glass bottle,0.0,Vinunic AB,9.0,8.0,9.0,9.0,0.0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2019.0,750 ml,1200201,12002,Allesverloren Tinta Barocca,Allesverloren Wine Estate,Red Wine,"Red Wines, Spicy & Robust",129.0,South Africa,Western Cape,Swartland,33861,22314.0
13.5,regular in-store stock,['Chardonnay'],lighter glass bottle,1.0,Morningstar Brands AB,6.0,8.0,9.0,0.0,2.0,"[{'key': 'TasteClockSweetness', 'value': 2}, {'key': 'TasteClockBody', 'value': 6}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Fläsk', 'Fågel']",2022.0,750 ml,279501,2795,Buttery Barrel Chardonnay,Scheid Family Wines,White Wine,"White Wines, Full-bodied & Flavorful",129.0,USA,California,Monterey,24678549,124869.0
,,,,,,,,,,,,,,,9339801,93398,Temjanika Luda Mara,Vinarska Vizba Tikves AD Kavadarci,White Wine,"White Wines, Fresh & Fruity",129.0,North Macedonia,Povardarje,Tikvesh,35898823,5046.0
,,,,,,,,,,,,,,,7306101,73061,Allesverloren 1704,Allesverloren Wine Estate,Red Wine,Red Wines,129.0,South Africa,Western Cape,Swartland,1006148,273.0
,,,,,,,,,,,,,,,5512701,55127,Kein Name Spätburgunder Pinot Noir,Brogsitter Weingüter GmbH,Red Wine,Red Wines,129.0,Germany,Rheinhessen,Rheinhessen,24676678,360.0
,,,,,,,,,,,,,,,7270401,72704,Brigaldara Valpolicella,Brigaldara,Red Wine,Red Wines,129.0,Italian,Venetien,Valpolicella,23106036,103.0
,,,,,,,,,,,,,,,234301,2343,Teroldego d'Isera Cantina D'Isera,Cantina D'Isera,Red Wine,"Red Wines, Fruity & Flavorful",129.0,Italian,Trentino-Alto Adige,Vigneti delle Dolomiti,24446490,447.0
,,,,,,,,,,,,,,,7387601,73876,Altos del Plata Chardonnay,Terrazas de los Andes,White Wine,White Wines,129.0,Argentina,Cuyo,Mendoza,674421,2.0
,,,,,,,,,,,,,,,535301,5353,Pasqua Valpolicella Ripasso Superiore,Pasqua,Red Wine,"Red Wines, Spicy & Robust",129.0,Italian,Venetien,Valpolicella,579556,20093.0
,,,,,,,,,,,,,,,5630901,56309,Les Fumées Blanches Vin Orange Sauvignon Blanc,François Lurton,White Wine,"White Wines, Fresh & Fruity",129.0,France,France,France,24703643,743.0
,,,,,,,,,,,,,,,5398001,53980,Plantaze Merlot,13. Jul - Plantaze AD,Red Wine,Red Wines,130.0,Montenegro,Montenegro,Montenegro,24653957,52.0
,,,,,,,,,,,,,,,5409001,54090,Domaine Saint Cels Fee Griottine,Vignobles de Saint Cels,Red Wine,Red Wines,130.0,France,Languedoc-Roussillon,Pays d'Oc,24655098,1.0
,,,,,,,,,,,,,,,5729601,57296,Vinos Del Viento Carignane,Vinos del viento,Red Wine,Red Wines,130.0,Spain,Aragonien,Cariñena,27237673,5.0
,,,,,,,,,,,,,,,5430101,54301,Pelassa Mario’s Rosso,Azienda Agricola DANIELE PELASSA,Red Wine,Red Wines,130.0,Italian,Italian,Italian,24658755,12.0
,,,,,,,,,,,,,,,7467801,74678,Nadal X Blanc,Enric Nadal. S.L.U.,White Wine,White Wines,130.0,Spain,Katalonien,Penedès,19256072,34.0
13.0,available on order,[],Glass bottle,0.0,Concealed Wines AB,0.0,0.0,0.0,0.0,0.0,[],[],2017.0,750 ml,8330701,83307,Chateau Bianca Pinot Gris,Chateau Bianca,White Wine,White Wines,130.0,USA,USA,USA,24550130,32.0
,,,,,,,,,,,,,,,7294301,72943,Hoya de Cadenas Chardonnay Sauvignon Blanc,Vicente Gandía,White Wine,White Wines,130.0,Spain,Valencia,Utiel-Requena,21331299,61.0
,,,,,,,,,,,,,,,5619601,56196,Mingorra Colheita Tinto,Herdade da Mingorra,Red Wine,Red Wines,130.0,Portugal,Alentejo,Alentejano,24700911,96.0
,,,,,,,,,,,,,,,5729401,57294,Vinos del viento Garnacha,Viñedo de los Vientos,Red Wine,Red Wines,130.0,Spain,Aragonien,Campo de Borja,27235302,18.0
,,,,,,,,,,,,,,,5327801,53278,Macedon Cuvee Red,Stobi Winery,Red Wine,Red Wines,130.0,North Macedonia,North Macedonia,North Macedonia,34581687,49.0
,,,,,,,,,,,,,,,5135801,51358,Les Enfosques Cava Brut Rosé,Mas Bertran,Sparkling Wine,"Sparkling Wines, Rosé",130.0,Spain,Cava,Cava,24587105,96.0
,,,,,,,,,,,,,,,7309001,73090,Tommasi Perla Pinot Nero Brut,Tommasi Viticoltori,Sparkling Wine,"Sparkling Wines, Dry",130.0,Italian,Italian,Italian,1100026,49.0
,,,,,,,,,,,,,,,5206001,52060,Plantaze Cabernet,13. Jul - Plantaze AD,Red Wine,Red Wines,130.0,Montenegro,Montenegro,Montenegro,24600838,133.0
,,,,,,,,,,,,,,,5660101,56601,Macedon Muscat Temjanika,Stobi Winery,White Wine,White Wines,130.0,North Macedonia,North Macedonia,North Macedonia,34581690,50.0
,,,,,,,,,,,,,,,7319401,73194,Tuscarello,Winemarket Nordic AB,Red Wine,Red Wines,130.0,Italian,Tuscany,Tuscany,23106030,-1.0
,,,,,,,,,,,,,,,9421001,94210,Jacob Premium Cuvée,Pernod Ricard Winemakers Australia,Sparkling Wine,"Sparkling Wines, Dry",130.0,Australia,South Australia,South Australia,29678231,186.0
,,,,,,,,,,,,,,,7077501,70775,Marrenon EnVie de Liberté Rouge,"Marrenon, Vignobles en Ventoux & Luberon",Red Wine,Red Wines,130.0,France,Rhonedalen,Luberon,24537334,32.0
,,,,,,,,,,,,,,,215801,2158,Sopron Kékfrankos és Syrah,Weingut Weninger,Red Wine,"Red Wines, Fruity & Flavorful",130.0,Hungary,North Transdanubia,Sopron,14579293,4301.0
12.5,available on order,['Tempranillo'],Glass bottle,0.0,Divine AB,0.0,0.0,0.0,0.0,0.0,[],[],2021.0,750 ml,5424401,54244,Embrujo del Campo Tempranillo,Bodegas Verum,Red Wine,Red Wines,130.0,Spain,Spain,Spain,24657377,40.0
,,,,,,,,,,,,,,,5638801,56388,Les Artiste Côtes du Rhône,Cave de Rasteau,Red Wine,Red Wines,130.0,France,Rhonedalen,Côtes du Rhône,24705126,99.0
,,,,,,,,,,,,,,,7230101,72301,Touraine Blanc Sauvignon Blanc,Domaine de La Chaise,White Wine,White Wines,130.0,France,Loire Valley,Touraine,24408520,274.0
,,,,,,,,,,,,,,,5780501,57805,Mingorra Colheita Branco,Herdade da Mingorra,White Wine,White Wines,130.0,Portugal,Alentejo,Alentejano,27909999,67.0
,,,,,,,,,,,,,,,7549501,75495,Azaya,Bodegas Valduero,Red Wine,Red Wines,130.0,Spain,Kastilien-León,Kastilien-León,4165983,-2.0
,,,,,,,,,,,,,,,7677001,76770,Soligo Solicum Prosecco,Cantina Colli del Soligo,Sparkling Wine,"Sparkling Wines, Dry",130.0,Italian,Venetien,Prosecco Treviso,24455611,28.0
,,,,,,,,,,,,,,,5424501,54245,Embrujo Verdejo,Bodegas Verum,White Wine,White Wines,130.0,Spain,Spain,Spain,24657378,22.0
,,,,,,,,,,,,,,,5375801,53758,Muralhas de Monção Adega de Monção,Adega de Monção,White Wine,White Wines,130.0,Portugal,Vinho Verde,Vinho Verde,24648790,291.0
,,,,,,,,,,,,,,,7473301,74733,Krstac,13. Jul - Plantaze AD,White Wine,White Wines,130.0,Montenegro,Montenegro,Montenegro,24480268,6.0
12.5,regular in-store stock,['Chardonnay'],Glass bottle,0.0,Morningstar Brands AB,7.0,8.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Fisk', 'Fläsk', 'Fågel']",2022.0,750 ml,279701,2797,Chardonnay Limoux Blanc,Etienne Fort,White Wine,"White Wines, Full-bodied & Flavorful",130.0,France,Languedoc-Roussillon,Limoux,25417547,25861.0
,,,,,,,,,,,,,,,9305301,93053,Vesztergombi Kadarka,Vesztergombi Bt,Red Wine,"Red Wines, Soft & Berry-like",130.0,Hungary,Pannon,Szekszárd,24433506,2.0
,,,,,,,,,,,,,,,5831201,58312,Selezione di Famiglia Primitivo Susumaniello,Cantine Sgarzi Luigi,Red Wine,Red Wines,131.0,Italian,Apulia,Salento,28897950,460.0
,,,,,,,,,,,,,,,7290601,72906,Secrets de Mar Red Terra Alta,Clos Galena,Red Wine,Red Wines,131.0,Spain,Katalonien,Terra Alta,41354755,6.0
,,,,,,,,,,,,,,,7733901,77339,Viva by Carolina Gynning Prosecco Extra Dry,Gynning Wine,Sparkling Wine,"Sparkling Wines, Dry",131.0,Italian,Venetien,Prosecco,1024940,1053.0
,,,,,,,,,,,,,,,208301,2083,Gemtree Bloodstone Shiraz,Gemtree Vineyards,Red Wine,"Red Wines, Fruity & Flavorful",131.0,Australia,South Australia,McLaren Vale,776291,-1.0
,,,,,,,,,,,,,,,276201,2762,Viña Muriel Crianza,Bodegas Muriel,White Wine,"White Wines, Full-bodied & Flavorful",131.0,Spain,Rioja,Rioja,24663324,42.0
,,,,,,,,,,,,,,,5012001,50120,Imperiale Millesimato Vino Spumante Extra Dry,Domus Vini,Sparkling Wine,"Sparkling Wines, Dry",131.0,Italian,Venetien,Venetien,24556193,48.0
12.5,available on order,"['Arinto', 'Verdelho', 'Viognier']",Glass bottle,0.0,Vänersborgs Vinagentur AB,0.0,0.0,0.0,0.0,0.0,[],[],2020.0,750 ml,5304301,53043,Ares de Medeiros Branco,Herdade de Medeiros,White Wine,White Wines,131.0,Portugal,Alentejo,Alentejano,24627270,8.0
11.0,available on order,['Glera'],Glass bottle,0.0,Wineshare Sweden,0.0,0.0,0.0,0.0,0.0,[],[],,750 ml,7563401,75634,Ca' del Sette Prosecco Extra Dry,Ca' Del Sette,Sparkling Wine,"Sparkling Wines, Dry",132.0,Italian,Venetien,Venetien,9547220,31.0
,,,,,,,,,,,,,,,7951801,79518,Langa Frenesi Organic Wine,Bodegas Langa,Red Wine,Red Wines,132.0,Spain,Aragonien,Calatayud,24447489,31.0
,,,,,,,,,,,,,,,7599201,75992,Le Ballon Blanc,Les Ballon,White Wine,White Wines,132.0,France,Languedoc-Roussillon,VdP d'Oc,14508939,36.0
,,,,,,,,,,,,,,,7093401,70934,Le Prestige,Les Vignerons des Albéres,Red Wine,Red Wines,132.0,France,Languedoc-Roussillon,Côtes du Roussillon,16278771,165.0
,,,,,,,,,,,,,,,7397701,73977,Le Ballon Rouge,Les Ballon,Red Wine,Red Wines,132.0,France,Languedoc-Roussillon,VdP d'Oc,14508940,78.0
,,,,,,,,,,,,,,,7488701,74887,Sanz El Loco,Vinos Sanz,White Wine,White Wines,132.0,Spain,Kastilien-León,Rueda,14078498,8.0
,,,,,,,,,,,,,,,7353101,73531,Espumoso Veleteta Blanco,Dominio Buenavista SL,Sparkling Wine,"Sparkling Wines, Dry",132.0,Spain,Andalusien,Granada,24443154,4.0
12.0,available on order,[],Glass bottle,0.0,OM.DuoVin AB,0.0,0.0,0.0,0.0,0.0,[],[],,750 ml,7471201,74712,Espumoso Veleta Brut Rosé,Dominio Buenavista SL,Sparkling Wine,"Sparkling Wines, Rosé",132.0,Spain,Andalusien,Granada,24444426,6.0
,,,,,,,,,,,,,,,498001,4980,Camino de Navaherreros Bodegas Bernabeleva,Bodegas Bernabeleva,Red Wine,Red Wines,132.0,Spain,Madrid,Vinos de Madrid,2635192,-1.0
,,,,,,,,,,,,,,,7285901,72859,Riesling Returns The Grape Collective,Spring Wine & Spirits,White Wine,"White Wines, Fresh & Fruity",132.0,Germany,Rheingau,Rheingau,24504507,40407.0
,,,,,,,,,,,,,,,7462401,74624,Jacob's Creek Reserve Riesling,Orlando,White Wine,White Wines,133.0,Australia,South Australia,South Australia,333408,33.0
,,,,,,,,,,,,,,,8398701,83987,Jacob's Creek Reserve Chardonnay,Orlando,White Wine,White Wines,133.0,Australia,South Eastern Australia,South Eastern Australia,30212,20.0
,,,,,,,,,,,,,,,7582701,75827,Snou Brut,9 mes,Sparkling Wine,"Sparkling Wines, Dry",134.0,Spain,Cava,Cava,24444414,84.0
,,,,,,,,,,,,,,,7284101,72841,Legado del Moncayo Garnacha,Isaac Fernandez,Red Wine,Red Wines,134.0,Spain,Aragonien,Campo de Borja,2335343,63.0
,,,,,,,,,,,,,,,5919701,59197,Sartarelli Classico,Sartarelli Soc. Agr.,White Wine,White Wines,134.0,Italian,Marche,Verdicchio dei Castelli di Jesi,31088607,16.0
,,,,,,,,,,,,,,,7358401,73584,Méndez Moya Syrah,Bodega Méndez Moya,Red Wine,Red Wines,134.0,Spain,Andalusien,Altiplano de Sierra Nevada,24444019,14.0
,,,,,,,,,,,,,,,7906901,79069,Le Capitaine Chardonnay,Domaine d'Escapat,White Wine,White Wines,134.0,France,Languedoc-Roussillon,Pays d'Oc,718192,32.0
11.0,available on order,['Riesling'],Glass bottle,0.0,Elisa Vin AB,0.0,0.0,0.0,0.0,0.0,[],[],2020.0,750 ml,7365301,73653,Claes Riesling vom Schiefer Trocken,Weingut Claes Schmitt Erben,White Wine,White Wines,134.0,Germany,Mosel,Mosel,24429007,2.0
,,,,,,,,,,,,,,,5455601,54556,Thomas Schmitt Private Collection Riesling Kabinett,Schmitt Söhne,White Wine,White Wines,134.0,Germany,Mosel,Mosel,35910650,8.0
,,,,,,,,,,,,,,,8162701,81627,Spezieri Col d'Orcia,Col d'Orcia,Red Wine,Red Wines,134.0,Italian,Tuscany,Tuscany,204337,236.0
,,,,,,,,,,,,,,,7636001,76360,Blanc de Gris Ktimatselepos,Tselepos,White Wine,White Wines,134.0,Greece,Peloponnese,Arcadia,24392317,1.0
,,,,,,,,,,,,,,,7201401,72014,Casa de Compostela Vinho Verde,Casa de Agricola de Compostela,White Wine,White Wines,134.0,Portugal,Vinho Verde,Vinho Verde,1194992,6.0
12.5,available on order,['Riesling'],Glass bottle,0.0,Wine4U i Finspång AB,0.0,0.0,0.0,0.0,0.0,[],[],2021.0,750 ml,7837401,78374,Alsace Riesling,Blanck André & Ses Fils,White Wine,White Wines,134.0,France,Alsace,Alsace,24431037,20.0
,,,,,,,,,,,,,,,7180901,71809,Villa des Croix Pinot Noir,So Vignerons,Red Wine,Red Wines,134.0,France,Languedoc-Roussillon,Pays d'Oc,40087247,7.0
,,,,,,,,,,,,,,,7349401,73494,b.io Primitivo Organic,Gruppo Cevico Soc. Coop Agricola,Red Wine,Red Wines,134.0,Italian,Apulia,Apulia,13904874,202.0
12.5,regular in-store stock,['Chardonnay'],lighter glass bottle,0.0,Enjoy Wine & Spirits AB,5.0,1.0,9.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Fågel', 'Grönsaker']",2022.0,750 ml,229501,2295,Blason de Bourgogne Mâcon-Villages Chardonnay,Vignerons des Grandes Vignes,White Wine,"White Wines, Fresh & Fruity",134.0,France,Burgundy,Mâcon-Villages,396891,112690.0
12.0,available on order,[],Glass bottle,0.0,GustaVino AB,0.0,0.0,0.0,0.0,0.0,[],[],,750 ml,7608901,76089,Chardonnay Spumante,Cantina Sociale di Casorzo,Sparkling Wine,"Sparkling Wines, Dry",134.0,Italian,Italian,Italian,375456,17.0
,,,,,,,,,,,,,,,7128801,71288,Monferrato Freisa,Cantina Sociale di Casorzo,Red Wine,Red Wines,134.0,Italian,Piedmont,Monferrato,558229,4.0
,,,,,,,,,,,,,,,7627101,76271,Veleta Tempranillo Reserva,Dominio Buenavista SL,Red Wine,Red Wines,134.0,Spain,Andalusien,Granada,24460868,13.0
,,,,,,,,,,,,,,,7245001,72450,Freedom Hill Chenin Blanc,Freedom Hill,White Wine,White Wines,135.0,South Africa,Western Cape,Western Cape,966092,9.0
,,,,,,,,,,,,,,,7963801,79638,Tenuta Marcati Valpolicella Superiore,Gagliano Marcati,Red Wine,Red Wines,135.0,Italian,Venetien,Valpolicella,980683,2.0
13.5,available on order,['Cabernet franc'],Glass bottle,0.0,Granqvist Beverage House AB,7.0,1.0,9.0,7.0,0.0,"[{'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fläsk', 'Fågel', 'Lamm']",2018.0,750 ml,227301,2273,Château d'Eternes Saumur Rouge,Chateau d'Eternes,Red Wine,"Red Wines, Fruity & Flavorful",135.0,France,Loire Valley,Saumur,973796,278.0
12.5,available on order,[],Glass bottle,0.0,Spendrups Bryggeri AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,7953001,79530,Auzells,Tomàs Cusiné,White Wine,White Wines,135.0,Spain,Katalonien,Costers del Segre,760891,36.0
,,,,,,,,,,,,,,,7219901,72199,Silverboom Black Label,Taster Wine,Red Wine,Red Wines,135.0,South Africa,Western Cape,Stellenbosch,24536401,613.0
,,,,,,,,,,,,,,,5203801,52038,Les Côtilles Pinot Noir,Roux Père & Fils,Red Wine,Red Wines,135.0,France,France,France,24600300,171.0
,,,,,,,,,,,,,,,5931601,59316,MO Masia Oliveda Origens Grup Oliveda,Grup Oliveda,Red Wine,"Red Wines, Spicy & Robust",135.0,Spain,Spain,Spain,37098303,840.0
,,,,,,,,,,,,,,,7499101,74991,Los Frailes Monastrell,Casa Los Frailes,Red Wine,Red Wines,135.0,Spain,Valencia,Valencia,1006437,184.0
,,,,,,,,,,,,,,,5128901,51289,Ruta 49 Albarino,Bodegas Langa,White Wine,White Wines,135.0,Spain,Galicien,Rías Baixas,24584441,87.0
,,,,,,,,,,,,,,,7812401,78124,Le Bertarole Valpolicella Classico,Azienda Agricola Le Bertarole di Venturini Giordano,Red Wine,Red Wines,135.0,Italian,Venetien,Valpolicella Classico,11190693,12.0
,,,,,,,,,,,,,,,552101,5521,Bourgogne Blanc Kimmeridgien J M Brocard,J M Brocard,White Wine,"White Wines, Fresh & Fruity",135.0,France,Burgundy,Burgundy,30584,2.0
,,,,,,,,,,,,,,,8525801,85258,Gustave Lorentz Pinot Gris Réserve,Gustave Lorentz,White Wine,White Wines,135.0,France,Alsace,Alsace,35123,344.0
,,,,,,,,,,,,,,,5203601,52036,Les Côtilles Chardonnay,Roux Père & Fils,White Wine,White Wines,135.0,France,France,France,24600299,180.0
13.5,available on order,[],Glass bottle,0.0,Budbreak AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,5888901,58889,Gheppio Dolcetto d'Alba,Cantina Terre del Barolo,Red Wine,Red Wines,135.0,Italian,Piedmont,Dolcetto d'Alba,30641664,1197.0
,,,,,,,,,,,,,,,7123901,71239,Côtes du Rhône Papilles Blanc,Maison Lavau,White Wine,White Wines,135.0,France,Rhonedalen,Côtes du Rhône,24509860,6.0
,,,,,,,,,,,,,,,5667101,56671,Karlbergs Slottsvin Vitt,Badet Clément,White Wine,White Wines,135.0,France,France,France,25245719,160.0
12.0,available on order,"['Gros manseng', 'Sauvignon blanc']",Glass bottle,0.0,Jakobsson och Söderström AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,7218801,72188,Domaine Horgelus Sauvignon Gros Manseng,Domaine Horgelus/Earl Haut Cassou,White Wine,White Wines,135.0,France,France South-West,Côtes de Gascogne IGP,950614,637.0
13.5,available on order,[],Glass bottle,0.0,Carovin AB,0.0,0.0,0.0,0.0,0.0,[],[],2020.0,750 ml,615001,6150,Cantina di Negrar Ripasso,Cantina Valpolicella Negrar,Red Wine,Red Wines,135.0,Italian,Venetien,Valpolicella Classico Superiore,699605,453.0
13.0,available on order,[],Glass bottle,0.0,Wine Affair Scandinavia AB,0.0,0.0,0.0,0.0,0.0,[],[],2021.0,750 ml,7173301,71733,Basa Blanco,Rodriguez,White Wine,White Wines,135.0,Spain,Kastilien-León,Rueda,570989,64.0
,,,,,,,,,,,,,,,7173601,71736,Santa Cristina Pinot Grigio,Marchesi Antinori,White Wine,White Wines,135.0,Italian,Three Venices,Delle Venezie,24453603,128.0
,,,,,,,,,,,,,,,7810401,78104,Rosenberg Monterosa Rosso Marche,Cantina Di Ruscio Srl,Red Wine,Red Wines,135.0,Italian,Marche,Marche,24420703,246.0
14.0,available on order,"['Merlot', 'Cabernet sauvignon']",Glass bottle,0.0,Sigva AB,0.0,0.0,0.0,0.0,0.0,[],[],2020.0,750 ml,7568001,75680,Cap Royal Bordeaux Supérieur,Compagnie Médocaine des Grands Crus,Red Wine,Red Wines,135.0,France,Bordeaux,Bordeaux Supérieur,14000245,39.0
11.5,available on order,"['Loureiro', 'Alvarinho', 'Avesso']",Glass bottle,0.0,Handpicked Wines Sweden AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,5367801,53678,Bico Amarelo,Esporão S.A. Herdade do Esporão,White Wine,White Wines,135.0,Portugal,Vinho Verde,Vinho Verde,24646875,113.0
,,,,,,,,,,,,,,,239901,2399,Langhe Rosso Marchesi di Barolo,Marchesi di Barolo,Red Wine,"Red Wines, Fruity & Flavorful",135.0,Italian,Piedmont,Langhe,1090838,1831.0
